Game,Genre,Link
GRIME,"Metroidvania, Souls-like, Platformer, Dark Fantasy",https://store.steampowered.com/app/1123050/GRIME/?snr=1_4_4__tab-Upcoming
Long Live Caesar,"Early Access, PvE, Turn-Based Strategy, Time Management",https://store.steampowered.com/app/1353350/Long_Live_Caesar/?snr=1_4_4__tab-Upcoming
Retail Royale,"Early Access, Free to Play, Battle Royale, PvP",https://store.steampowered.com/app/1557990/Retail_Royale/?snr=1_4_4__tab-Upcoming
Here Comes Niko!,"Relaxing, Cute, 3D Platformer, Action",https://store.steampowered.com/app/925950/Here_Comes_Niko/?snr=1_4_4__tab-Upcoming
Sheltered 2,"Strategy, Resource Management, Colony Sim, Survival",https://store.steampowered.com/app/1289380/Sheltered_2/?snr=1_4_4__tab-Upcoming
Stellar Warfare,"Early Access, Sci-fi, Casual, Space Sim",https://store.steampowered.com/app/1113030/Stellar_Warfare/?snr=1_4_4__tab-Upcoming
Toodee and Topdee,"Puzzle Platformer, Puzzle, Platformer, Side Scroller",https://store.steampowered.com/app/1303950/Toodee_and_Topdee/?snr=1_4_4__tab-Upcoming
Starmancer,"Indie, Simulation, Strategy, Base Building",https://store.steampowered.com/app/1062000/Starmancer/?snr=1_4_4__tab-Upcoming
Haven Park,"Adventure, Exploration, Indie, Cute",https://store.steampowered.com/app/1549550/Haven_Park/?snr=1_4_4__tab-Upcoming
Death Trash,"Early Access, Action, Adventure, Shooter",https://store.steampowered.com/app/941460/Death_Trash/?snr=1_4_4__tab-Upcoming
Dodgeball Academia,"Action, Adventure, RPG, Sports",https://store.steampowered.com/app/1422420/Dodgeball_Academia/?snr=1_4_4__tab-Upcoming
Bless Unleashed,"RPG, Action, MMORPG, Massively Multiplayer",https://store.steampowered.com/app/1254120/Bless_Unleashed/?snr=1_4_4__tab-Upcoming
Lifeslide,"Casual, Indie, Adventure, Flight",https://store.steampowered.com/app/956140/Lifeslide/?snr=1_4_4__tab-Upcoming
Whisper Trip,"Action, Cyberpunk, Online Co-Op, Hack and Slash",https://store.steampowered.com/app/1551920/Whisper_Trip/?snr=1_4_4__tab-Upcoming
Tinytopia,"City Builder, Physics, Casual, Building",https://store.steampowered.com/app/968550/Tinytopia/?snr=1_4_4__tab-Upcoming
City of Gangsters,"Resource Management, Procedural Generation, Crime, Strategy",https://store.steampowered.com/app/1386780/City_of_Gangsters/?snr=1_4_4__tab-Upcoming
Mech Armada,"Early Access, Turn-Based Tactics, Mechs, Strategy",https://store.steampowered.com/app/1389360/Mech_Armada/?snr=1_4_4__tab-Upcoming
Carrier Command 2,"Strategy, Simulation, Adventure, Action-Adventure",https://store.steampowered.com/app/1489630/Carrier_Command_2/?snr=1_4_4__tab-Upcoming
Patron,"Simulation, City Builder, Colony Sim, Strategy",https://store.steampowered.com/app/1538570/Patron/?snr=1_4_4__tab-Upcoming
Atrio: The Dark Wild,"Early Access, Survival, Open World Survival Craft, Crafting",https://store.steampowered.com/app/1125390/Atrio_The_Dark_Wild/?snr=1_4_4__tab-Upcoming
Black Book,"Strategy, RPG, Indie, Adventure",https://store.steampowered.com/app/1138660/Black_Book/?snr=1_4_4__tab-Upcoming
Lawn Mowing Simulator,"Simulation, Farming Sim, Immersive Sim, Realistic",https://store.steampowered.com/app/1480560/Lawn_Mowing_Simulator/?snr=1_4_4__tab-Upcoming
Button City,"Adventure, Narrative, Exploration, Cute",https://store.steampowered.com/app/1273750/Button_City/?snr=1_4_4__tab-Upcoming
Seed of Life,"Puzzle Platformer, Action, Emotional, Colorful",https://store.steampowered.com/app/1030060/Seed_of_Life/?snr=1_4_4__tab-Upcoming
Garden Story,"Indie, Great Soundtrack, Exploration, Agriculture",https://store.steampowered.com/app/1062140/Garden_Story/?snr=1_4_4__tab-Upcoming
Glitchpunk,"Early Access, Cyberpunk, Action, Top-Down Shooter",https://store.steampowered.com/app/1459960/Glitchpunk/?snr=1_4_4__tab-Upcoming
Exo One,"Adventure, Indie, Atmospheric, Relaxing",https://store.steampowered.com/app/773370/Exo_One/?snr=1_4_4__tab-Upcoming
FORECLOSED,"Futuristic, Atmospheric, Sci-fi, Story Rich",https://store.steampowered.com/app/1308880/FORECLOSED/?snr=1_4_4__tab-Upcoming
NARAKA: BLADEPOINT,"Battle Royale, Martial Arts, Multiplayer, Survival",https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_4_4__tab-Upcoming
ICARUS,"Open World Survival Craft, Survival, Online Co-Op, Crafting",https://store.steampowered.com/app/1149460/ICARUS/?snr=1_4_4__tab-Upcoming
